id_sonda	FNB4	FNB36	FNB37	FNB39	FNB40	FNB41	FNB43	FNB44A	FNB44B	FNB45	FNB6	FNB7	FNB8	FNB12	FNB29	FNB32	FNB33	FNB35	Media	Error estándar %
202498_s_at	796.8	158.9	114.4	258.7	134.0	155.2	170.5	173.3	217.2	417.7	44.6	306.6	218.5	99.9	115.6	1843.5	101.4	182.5	306.0722222222222	31.36451026078324
202499_s_at	1461.5	334.1	279.6	435.5	257.3	195.2	400.3	457.0	692.1	977.4	202.9	459.1	303.0	175.7	169.8	3392.1	285.8	287.5	598.1055555555555	29.4583531649334
202575_at	141.8	94.7	252.5	394.3	510.5	56.3	715.3	776.1	106.0	58.0	179.2	132.6	76.5	157.9	90.9	158.7	127.0	79.1	228.18888888888887	22.31004337855443
202580_x_at	14.6	44.4	5.9	48.6	20.7	13.6	115.9	41.3	72.5	96.7	23.5	8.6	20.3	8.3	11.3	12.6	10.1	18.0	32.605555555555554	22.61965783490327
202674_s_at	136.5	11.0	14.7	18.6	11.7	14.3	7.7	23.8	4.0	18.0	25.9	29.3	25.6	18.9	41.2	36.7	4.8	63.6	28.127777777777776	25.011143263130176
202755_s_at	127.7	61.6	40.4	6.9	10.9	23.5	16.5	6.2	7.7	9.0	20.7	44.7	88.2	6.2	39.1	58.1	63.9	73.3	39.14444444444444	20.034624323133585
202768_at	56.6	8.1	370.3	1139.7	452.6	86.5	64.4	12.0	1842.3	105.5	1644.5	17.2	148.2	54.6	23.6	129.9	25.9	9.8	343.98333333333335	38.48841297513083
202825_at	138.9	122.6	187.1	116.9	135.8	150.5	110.6	183.9	87.7	124.1	187.5	119.5	69.0	163.4	179.2	80.1	133.3	1080.4	187.25	27.618878301132387
202826_at	17.0	24.6	29.2	14.2	11.6	16.9	87.7	8.0	24.6	19.1	7.3	19.8	100.2	13.3	8.2	40.6	75.4	21.7	29.966666666666672	21.511576465497523
202855_s_at	1030.2	317.7	96.8	173.5	112.5	203.3	672.5	156.9	283.6	421.5	105.1	495.6	1093.6	99.1	204.3	1762.3	424.3	427.2	448.8888888888889	22.60507201348857
