id_sonda	RA271	RA273	RA281	RA282	RA288	RA289	Media	Error estándar %
201902_s_at	18.5	87.4	5.9	29.3	29.5	20.0	31.76666666666667	33.55288812693934
201905_s_at	44.1	73.0	5.0	18.1	15.4	33.0	31.433333333333334	29.158648834726442
201907_x_at	41.4	58.4	23.6	10.5	12.7	14.0	26.766666666666666	26.783957740219122
201909_at	3543.0	55.2	20.1	103.4	49.1	2901.8	1112.1000000000001	55.20555572523599
201915_at	59.1	128.9	95.1	119.1	253.3	89.1	124.10000000000001	20.38167053546304
201939_at	120.5	299.1	449.3	150.2	65.9	15.3	183.38333333333335	32.921176525686576
201958_s_at	6.3	6.7	7.0	20.8	12.1	8.8	10.283333333333333	20.2163780461454
201961_s_at	5.5	93.0	23.5	66.5	44.6	66.6	49.949999999999996	23.848333871047107
202005_at	131.6	71.7	140.5	104.2	36.6	30.6	85.86666666666667	20.444804931561666
202008_s_at	143.0	144.0	151.1	140.4	370.5	47.7	166.11666666666667	24.101489108781216
202014_at	500.3	177.1	108.8	91.0	63.4	154.7	182.54999999999998	32.89148421766326
202016_at	620.8	968.1	487.5	786.1	1778.3	526.0	861.1333333333333	20.916506665800178
202035_s_at	135.7	147.1	122.9	840.6	755.8	340.1	390.3666666666666	31.209667284697773
202036_s_at	304.4	604.7	769.3	3620.3	2753.1	1468.9	1586.7833333333335	31.134572070016443
202037_s_at	605.5	978.9	2902.3	4331.7	3603.7	1602.8	2337.4833333333336	23.951975160070994
202067_s_at	10.0	17.8	46.8	24.9	30.8	7.6	22.983333333333334	23.65508836007258
202072_at	158.9	402.9	115.0	384.8	486.8	814.5	393.8166666666666	23.891952907853923
202081_at	5473.5	837.6	866.8	657.9	854.1	1003.9	1615.6333333333332	43.66993406756442
202087_s_at	4477.2	1186.8	1091.4	1363.8	2110.2	1719.0	1991.3999999999999	23.84710297248855
202095_s_at	6.7	10.8	10.1	16.6	70.9	41.2	26.05	36.14551650290919
202099_s_at	22.4	93.0	40.6	40.0	27.9	79.3	50.53333333333333	21.232302575848436
202134_s_at	104.8	60.2	11.8	91.1	132.0	25.9	70.96666666666665	24.544828863841992
202186_x_at	3.5	4.0	4.0	12.5	12.6	10.3	7.816666666666667	21.188101487678363
